Marca,Modelo,Cilindrada,Versión,Potencia,Año lanzamiento,Año matriculación,Edad actual,Código postal,Tipo carnet,Edad carnet,Tipo seguro,Precio mínimo
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2021,2021,26,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",23,Terceros sin asistencia en viaje,144€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2021,2021,26,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",23,Terceros con asistencia en viaje,161€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2021,2021,26,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",23,Terceros ampliado,287€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2021,2021,26,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",23,Todo riesgo con franquicia,499€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2021,2021,26,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros sin asistencia en viaje,111€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2021,2021,26,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros con asistencia en viaje,128€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2021,2021,26,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros ampliado,222€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2021,2021,26,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Todo riesgo con franquicia,395€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2021,2021,26,28001,A1 (para conducir motos de hasta 125cc),26,Terceros sin asistencia en viaje,186€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2021,2021,26,28001,A1 (para conducir motos de hasta 125cc),26,Terceros con asistencia en viaje,203€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2021,2021,26,28001,A1 (para conducir motos de hasta 125cc),26,Terceros ampliado,302€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2021,2021,26,28001,A1 (para conducir motos de hasta 125cc),26,Todo riesgo con franquicia,728€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2021,2021,26,28001,A1 (para conducir motos de hasta 125cc),23,Terceros sin asistencia en viaje,135€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2021,2021,26,28001,A1 (para conducir motos de hasta 125cc),23,Terceros con asistencia en viaje,152€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2021,2021,26,28001,A1 (para conducir motos de hasta 125cc),23,Terceros ampliado,268€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2021,2021,26,28001,A1 (para conducir motos de hasta 125cc),23,Todo riesgo con franquicia,466€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2021,2021,26,28001,A1 (para conducir motos de hasta 125cc),19,Terceros sin asistencia en viaje,104€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2021,2021,26,28001,A1 (para conducir motos de hasta 125cc),19,Terceros con asistencia en viaje,121€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2021,2021,26,28001,A1 (para conducir motos de hasta 125cc),19,Terceros ampliado,208€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2021,2021,26,28001,A1 (para conducir motos de hasta 125cc),19,Todo riesgo con franquicia,362€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2021,2021,26,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",26,Terceros sin asistencia en viaje,168€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2021,2021,26,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",26,Terceros con asistencia en viaje,185€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2021,2021,26,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",26,Terceros ampliado,302€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2021,2021,26,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",26,Todo riesgo con franquicia,659€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2021,2021,26,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",23,Terceros sin asistencia en viaje,120€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2021,2021,26,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",23,Terceros con asistencia en viaje,137€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2021,2021,26,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",23,Terceros ampliado,240€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2021,2021,26,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",23,Todo riesgo con franquicia,414€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2021,2021,26,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros sin asistencia en viaje,93€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2021,2021,26,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros con asistencia en viaje,110€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2021,2021,26,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros ampliado,187€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2021,2021,26,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Todo riesgo con franquicia,328€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2020,2020,19,08001,A1 (para conducir motos de hasta 125cc),19,Terceros sin asistencia en viaje,344€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2020,2020,19,08001,A1 (para conducir motos de hasta 125cc),19,Terceros con asistencia en viaje,361€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2020,2020,19,08001,A1 (para conducir motos de hasta 125cc),19,Terceros ampliado,678€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2020,2020,19,08001,A1 (para conducir motos de hasta 125cc),19,Todo riesgo con franquicia,1.286€
