Marca,Modelo,Cilindrada,Versión,Potencia,Año lanzamiento,Año matriculación,Edad actual,Código postal,Tipo carnet,Edad carnet,Tipo seguro,Precio mínimo
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,26,08001,A1 (para conducir motos de hasta 125cc),19,Terceros sin asistencia en viaje,119€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,26,08001,A1 (para conducir motos de hasta 125cc),19,Terceros con asistencia en viaje,136€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,26,08001,A1 (para conducir motos de hasta 125cc),19,Terceros ampliado,226€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,26,08001,A1 (para conducir motos de hasta 125cc),19,Todo riesgo con franquicia,305€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,26,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",26,Terceros sin asistencia en viaje,194€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,26,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",26,Terceros con asistencia en viaje,211€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,26,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",26,Terceros ampliado,367€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,26,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",26,Todo riesgo con franquicia,696€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,26,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",23,Terceros sin asistencia en viaje,138€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,26,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",23,Terceros con asistencia en viaje,155€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,26,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",23,Terceros ampliado,262€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,26,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",23,Todo riesgo con franquicia,364€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,26,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros sin asistencia en viaje,106€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,26,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros con asistencia en viaje,123€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,26,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros ampliado,204€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,26,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Todo riesgo con franquicia,345€
